"Cell_Type"	"Cell_State"	"Cohort"	"Sample"	"Count"	"Sex"	"cluster_id"	"group"	"id"	"full_group"	"n_cells"	"lol"
"140"	"Deuterosomal"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	1006	"Male"	"Deuterosomal"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Deuterosomal_uninfected_adult_Uninfected_Sample3_Sample3"	"Deuterosomal_uninfected_adult_Uninfected"	90	"Deuterosomal_Uninfected"
"142"	"Deuterosomal"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	11523	"Female"	"Deuterosomal"	"uninfected_child_Uninfected_Sample5_Sample5"	"Deuterosomal_uninfected_child_Uninfected_Sample5_Sample5"	"Deuterosomal_uninfected_child_Uninfected"	20	"Deuterosomal_Uninfected"
"143"	"Deuterosomal"	"Uninfected"	"uninfected_child"	"Sample6_Sample6"	1261	"Male"	"Deuterosomal"	"uninfected_child_Uninfected_Sample6_Sample6"	"Deuterosomal_uninfected_child_Uninfected_Sample6_Sample6"	"Deuterosomal_uninfected_child_Uninfected"	37	"Deuterosomal_Uninfected"
"146"	"Deuterosomal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	15924	"Male"	"Deuterosomal"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Deuterosomal_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Deuterosomal_VIC01_48hpi_adult_Uninfected"	22	"Deuterosomal_Uninfected"
"150"	"Deuterosomal"	"Uninfected"	"VIC01_48hpi_child"	"Sample6_Sample6"	4895	"Male"	"Deuterosomal"	"VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Deuterosomal_VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Deuterosomal_VIC01_48hpi_child_Uninfected"	25	"Deuterosomal_Uninfected"
"157"	"Deuterosomal"	"Infected"	"VIC01_72hpi_child"	"Sample6_Sample6"	9992	"Male"	"Deuterosomal"	"VIC01_72hpi_child_Infected_Sample6_Sample6"	"Deuterosomal_VIC01_72hpi_child_Infected_Sample6_Sample6"	"Deuterosomal_VIC01_72hpi_child_Infected"	18	"Deuterosomal_Infected"
"169"	"Goblet_IFN_stim"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	15428	"Male"	"Goblet"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Goblet_UK_72hpi_adult_Infected_Sample1_Sample1"	"Goblet_UK_72hpi_adult_Infected"	29	"Goblet_Infected"
"170"	"Goblet"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	15221	"Female"	"Goblet"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Goblet_UK_72hpi_adult_Infected_Sample2_Sample2"	"Goblet_UK_72hpi_adult_Infected"	17	"Goblet_Infected"
"174"	"Goblet"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	1841	"Female"	"Goblet"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Goblet_UK_72hpi_child_Infected_Sample4_Sample4"	"Goblet_UK_72hpi_child_Infected"	20	"Goblet_Infected"
"176"	"Goblet_IFN_stim"	"Infected"	"UK_72hpi_child"	"Sample6_Sample6"	3459	"Male"	"Goblet"	"UK_72hpi_child_Infected_Sample6_Sample6"	"Goblet_UK_72hpi_child_Infected_Sample6_Sample6"	"Goblet_UK_72hpi_child_Infected"	23	"Goblet_Infected"
"180"	"Goblet"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	1235	"Male"	"Goblet"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Goblet_uninfected_adult_Uninfected_Sample1_Sample1"	"Goblet_uninfected_adult_Uninfected"	284	"Goblet_Uninfected"
"181"	"Goblet"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	539	"Female"	"Goblet"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Goblet_uninfected_adult_Uninfected_Sample2_Sample2"	"Goblet_uninfected_adult_Uninfected"	165	"Goblet_Uninfected"
"182"	"Goblet"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	1071	"Male"	"Goblet"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Goblet_uninfected_adult_Uninfected_Sample3_Sample3"	"Goblet_uninfected_adult_Uninfected"	248	"Goblet_Uninfected"
"183"	"Goblet"	"Uninfected"	"uninfected_child"	"Sample4_Sample4"	9863	"Female"	"Goblet"	"uninfected_child_Uninfected_Sample4_Sample4"	"Goblet_uninfected_child_Uninfected_Sample4_Sample4"	"Goblet_uninfected_child_Uninfected"	47	"Goblet_Uninfected"
"184"	"Goblet"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	724	"Female"	"Goblet"	"uninfected_child_Uninfected_Sample5_Sample5"	"Goblet_uninfected_child_Uninfected_Sample5_Sample5"	"Goblet_uninfected_child_Uninfected"	51	"Goblet_Uninfected"
"185"	"Goblet"	"Uninfected"	"uninfected_child"	"Sample6_Sample6"	696	"Male"	"Goblet"	"uninfected_child_Uninfected_Sample6_Sample6"	"Goblet_uninfected_child_Uninfected_Sample6_Sample6"	"Goblet_uninfected_child_Uninfected"	335	"Goblet_Uninfected"
"186"	"Goblet"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	7581	"Male"	"Goblet"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Goblet_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Goblet_VIC01_48hpi_adult_Uninfected"	24	"Goblet_Uninfected"
"187"	"Goblet"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	2111	"Female"	"Goblet"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Goblet_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Goblet_VIC01_48hpi_adult_Uninfected"	28	"Goblet_Uninfected"
"188"	"Goblet"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	454	"Male"	"Goblet"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Goblet_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Goblet_VIC01_48hpi_adult_Uninfected"	32	"Goblet_Uninfected"
"189"	"Goblet"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	684	"Female"	"Goblet"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Goblet_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Goblet_VIC01_48hpi_child_Uninfected"	68	"Goblet_Uninfected"
"190"	"Goblet"	"Uninfected"	"VIC01_48hpi_child"	"Sample5_Sample5"	2980	"Female"	"Goblet"	"VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Goblet_VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Goblet_VIC01_48hpi_child_Uninfected"	47	"Goblet_Uninfected"
"191"	"Goblet"	"Uninfected"	"VIC01_48hpi_child"	"Sample6_Sample6"	10158	"Male"	"Goblet"	"VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Goblet_VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Goblet_VIC01_48hpi_child_Uninfected"	207	"Goblet_Uninfected"
"192"	"Goblet"	"Uninfected"	"VIC01_72hpi_adult"	"Sample1_Sample1"	12159	"Male"	"Goblet"	"VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Goblet_VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Goblet_VIC01_72hpi_adult_Uninfected"	28	"Goblet_Uninfected"
"193"	"Goblet"	"Uninfected"	"VIC01_72hpi_adult"	"Sample2_Sample2"	1070	"Female"	"Goblet"	"VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Goblet_VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Goblet_VIC01_72hpi_adult_Uninfected"	18	"Goblet_Uninfected"
"197"	"Goblet"	"Infected"	"VIC01_72hpi_child"	"Sample6_Sample6"	13671	"Male"	"Goblet"	"VIC01_72hpi_child_Infected_Sample6_Sample6"	"Goblet_VIC01_72hpi_child_Infected_Sample6_Sample6"	"Goblet_VIC01_72hpi_child_Infected"	58	"Goblet_Infected"
"200"	"Goblet"	"Uninfected"	"VIC01_72hpi_child"	"Sample6_Sample6"	823	"Male"	"Goblet"	"VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Goblet_VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Goblet_VIC01_72hpi_child_Uninfected"	39	"Goblet_Uninfected"
"212"	"Ionocyte"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	6129	"Male"	"Ionocyte"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Ionocyte_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Ionocyte_VIC01_48hpi_adult_Uninfected"	17	"Ionocyte_Uninfected"
"217"	"Ionocyte"	"Uninfected"	"VIC01_72hpi_adult"	"Sample3_Sample3"	6462	"Male"	"Ionocyte"	"VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Ionocyte_VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Ionocyte_VIC01_72hpi_adult_Uninfected"	16	"Ionocyte_Uninfected"
"220"	"Secretory_Ciliated"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	30695	"Male"	"Secretory_Ciliated"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Secretory_Ciliated_UK_72hpi_adult_Infected_Sample1_Sample1"	"Secretory_Ciliated_UK_72hpi_adult_Infected"	30	"Secretory_Ciliated_Infected"
"221"	"Secretory_Ciliated_SC2"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	39897	"Female"	"Secretory_Ciliated"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Secretory_Ciliated_UK_72hpi_adult_Infected_Sample2_Sample2"	"Secretory_Ciliated_UK_72hpi_adult_Infected"	19	"Secretory_Ciliated_Infected"
"222"	"Secretory_Ciliated"	"Infected"	"UK_72hpi_adult"	"Sample3_Sample3"	23472	"Male"	"Secretory_Ciliated"	"UK_72hpi_adult_Infected_Sample3_Sample3"	"Secretory_Ciliated_UK_72hpi_adult_Infected_Sample3_Sample3"	"Secretory_Ciliated_UK_72hpi_adult_Infected"	30	"Secretory_Ciliated_Infected"
"223"	"Secretory_Ciliated_SC2"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	19673	"Female"	"Secretory_Ciliated"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Secretory_Ciliated_UK_72hpi_child_Infected_Sample4_Sample4"	"Secretory_Ciliated_UK_72hpi_child_Infected"	19	"Secretory_Ciliated_Infected"
"224"	"Secretory_Ciliated_SC2"	"Infected"	"UK_72hpi_child"	"Sample5_Sample5"	26099	"Female"	"Secretory_Ciliated"	"UK_72hpi_child_Infected_Sample5_Sample5"	"Secretory_Ciliated_UK_72hpi_child_Infected_Sample5_Sample5"	"Secretory_Ciliated_UK_72hpi_child_Infected"	26	"Secretory_Ciliated_Infected"
"231"	"Secretory_Ciliated"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	15333	"Male"	"Secretory_Ciliated"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected"	25	"Secretory_Ciliated_Uninfected"
"232"	"Secretory_Ciliated"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	17082	"Female"	"Secretory_Ciliated"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected"	28	"Secretory_Ciliated_Uninfected"
"233"	"Secretory_Ciliated"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	14361	"Male"	"Secretory_Ciliated"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_Ciliated_VIC01_48hpi_adult_Uninfected"	16	"Secretory_Ciliated_Uninfected"
"235"	"Secretory_Ciliated"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	14703	"Female"	"Secretory_Ciliated"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Secretory_Ciliated_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Secretory_Ciliated_VIC01_48hpi_child_Uninfected"	23	"Secretory_Ciliated_Uninfected"
"240"	"Secretory_Ciliated"	"Uninfected"	"VIC01_72hpi_adult"	"Sample1_Sample1"	17455	"Male"	"Secretory_Ciliated"	"VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_Ciliated_VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_Ciliated_VIC01_72hpi_adult_Uninfected"	20	"Secretory_Ciliated_Uninfected"
"242"	"Secretory_Ciliated"	"Uninfected"	"VIC01_72hpi_adult"	"Sample3_Sample3"	28177	"Male"	"Secretory_Ciliated"	"VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_Ciliated_VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_Ciliated_VIC01_72hpi_adult_Uninfected"	16	"Secretory_Ciliated_Uninfected"
"243"	"Secretory_Ciliated"	"Infected"	"VIC01_72hpi_child"	"Sample4_Sample4"	16825	"Female"	"Secretory_Ciliated"	"VIC01_72hpi_child_Infected_Sample4_Sample4"	"Secretory_Ciliated_VIC01_72hpi_child_Infected_Sample4_Sample4"	"Secretory_Ciliated_VIC01_72hpi_child_Infected"	26	"Secretory_Ciliated_Infected"
"244"	"Secretory_Ciliated"	"Infected"	"VIC01_72hpi_child"	"Sample5_Sample5"	13885	"Female"	"Secretory_Ciliated"	"VIC01_72hpi_child_Infected_Sample5_Sample5"	"Secretory_Ciliated_VIC01_72hpi_child_Infected_Sample5_Sample5"	"Secretory_Ciliated_VIC01_72hpi_child_Infected"	16	"Secretory_Ciliated_Infected"
"247"	"Secretory_IFN_stim"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	9865	"Male"	"Secretory"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Secretory_UK_72hpi_adult_Infected_Sample1_Sample1"	"Secretory_UK_72hpi_adult_Infected"	167	"Secretory_Infected"
"248"	"Secretory_1"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	3379	"Female"	"Secretory"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Secretory_UK_72hpi_adult_Infected_Sample2_Sample2"	"Secretory_UK_72hpi_adult_Infected"	149	"Secretory_Infected"
"249"	"Secretory_1"	"Infected"	"UK_72hpi_adult"	"Sample3_Sample3"	8972	"Male"	"Secretory"	"UK_72hpi_adult_Infected_Sample3_Sample3"	"Secretory_UK_72hpi_adult_Infected_Sample3_Sample3"	"Secretory_UK_72hpi_adult_Infected"	88	"Secretory_Infected"
"253"	"Secretory_1"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	16462	"Female"	"Secretory"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Secretory_UK_72hpi_child_Infected_Sample4_Sample4"	"Secretory_UK_72hpi_child_Infected"	106	"Secretory_Infected"
"254"	"Secretory_IFN_stim"	"Infected"	"UK_72hpi_child"	"Sample5_Sample5"	17658	"Female"	"Secretory"	"UK_72hpi_child_Infected_Sample5_Sample5"	"Secretory_UK_72hpi_child_Infected_Sample5_Sample5"	"Secretory_UK_72hpi_child_Infected"	103	"Secretory_Infected"
"255"	"Secretory_IFN_stim"	"Infected"	"UK_72hpi_child"	"Sample6_Sample6"	24729	"Male"	"Secretory"	"UK_72hpi_child_Infected_Sample6_Sample6"	"Secretory_UK_72hpi_child_Infected_Sample6_Sample6"	"Secretory_UK_72hpi_child_Infected"	131	"Secretory_Infected"
"258"	"Secretory_2"	"Uninfected"	"UK_72hpi_child"	"Sample6_Sample6"	462	"Male"	"Secretory"	"UK_72hpi_child_Uninfected_Sample6_Sample6"	"Secretory_UK_72hpi_child_Uninfected_Sample6_Sample6"	"Secretory_UK_72hpi_child_Uninfected"	26	"Secretory_Uninfected"
"259"	"Secretory_2"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	1641	"Male"	"Secretory"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Secretory_uninfected_adult_Uninfected_Sample1_Sample1"	"Secretory_uninfected_adult_Uninfected"	507	"Secretory_Uninfected"
"260"	"Secretory_2"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	1602	"Female"	"Secretory"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Secretory_uninfected_adult_Uninfected_Sample2_Sample2"	"Secretory_uninfected_adult_Uninfected"	451	"Secretory_Uninfected"
"261"	"Secretory_2"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	1017	"Male"	"Secretory"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Secretory_uninfected_adult_Uninfected_Sample3_Sample3"	"Secretory_uninfected_adult_Uninfected"	573	"Secretory_Uninfected"
"262"	"Secretory_1"	"Uninfected"	"uninfected_child"	"Sample4_Sample4"	49380	"Female"	"Secretory"	"uninfected_child_Uninfected_Sample4_Sample4"	"Secretory_uninfected_child_Uninfected_Sample4_Sample4"	"Secretory_uninfected_child_Uninfected"	123	"Secretory_Uninfected"
"263"	"Secretory_2"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	3120	"Female"	"Secretory"	"uninfected_child_Uninfected_Sample5_Sample5"	"Secretory_uninfected_child_Uninfected_Sample5_Sample5"	"Secretory_uninfected_child_Uninfected"	119	"Secretory_Uninfected"
"264"	"Secretory_2"	"Uninfected"	"uninfected_child"	"Sample6_Sample6"	1582	"Male"	"Secretory"	"uninfected_child_Uninfected_Sample6_Sample6"	"Secretory_uninfected_child_Uninfected_Sample6_Sample6"	"Secretory_uninfected_child_Uninfected"	587	"Secretory_Uninfected"
"265"	"Secretory_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	7835	"Male"	"Secretory"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_VIC01_48hpi_adult_Uninfected"	183	"Secretory_Uninfected"
"266"	"Secretory_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	23290	"Female"	"Secretory"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Secretory_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Secretory_VIC01_48hpi_adult_Uninfected"	202	"Secretory_Uninfected"
"267"	"Secretory_1"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	9187	"Male"	"Secretory"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_VIC01_48hpi_adult_Uninfected"	197	"Secretory_Uninfected"
"269"	"Secretory_1"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	8140	"Female"	"Secretory"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Secretory_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Secretory_VIC01_48hpi_child_Uninfected"	357	"Secretory_Uninfected"
"270"	"Secretory_1"	"Uninfected"	"VIC01_48hpi_child"	"Sample5_Sample5"	9296	"Female"	"Secretory"	"VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Secretory_VIC01_48hpi_child_Uninfected_Sample5_Sample5"	"Secretory_VIC01_48hpi_child_Uninfected"	219	"Secretory_Uninfected"
"271"	"Secretory_2"	"Uninfected"	"VIC01_48hpi_child"	"Sample6_Sample6"	1181	"Male"	"Secretory"	"VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Secretory_VIC01_48hpi_child_Uninfected_Sample6_Sample6"	"Secretory_VIC01_48hpi_child_Uninfected"	392	"Secretory_Uninfected"
"275"	"Secretory_2"	"Uninfected"	"VIC01_72hpi_adult"	"Sample1_Sample1"	1159	"Male"	"Secretory"	"VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_VIC01_72hpi_adult_Uninfected_Sample1_Sample1"	"Secretory_VIC01_72hpi_adult_Uninfected"	170	"Secretory_Uninfected"
"276"	"Secretory_2"	"Uninfected"	"VIC01_72hpi_adult"	"Sample2_Sample2"	625	"Female"	"Secretory"	"VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Secretory_VIC01_72hpi_adult_Uninfected_Sample2_Sample2"	"Secretory_VIC01_72hpi_adult_Uninfected"	156	"Secretory_Uninfected"
"277"	"Secretory_1"	"Uninfected"	"VIC01_72hpi_adult"	"Sample3_Sample3"	5226	"Male"	"Secretory"	"VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_VIC01_72hpi_adult_Uninfected_Sample3_Sample3"	"Secretory_VIC01_72hpi_adult_Uninfected"	147	"Secretory_Uninfected"
"278"	"Secretory_1"	"Infected"	"VIC01_72hpi_child"	"Sample4_Sample4"	5911	"Female"	"Secretory"	"VIC01_72hpi_child_Infected_Sample4_Sample4"	"Secretory_VIC01_72hpi_child_Infected_Sample4_Sample4"	"Secretory_VIC01_72hpi_child_Infected"	81	"Secretory_Infected"
"279"	"Secretory_2"	"Infected"	"VIC01_72hpi_child"	"Sample5_Sample5"	7188	"Female"	"Secretory"	"VIC01_72hpi_child_Infected_Sample5_Sample5"	"Secretory_VIC01_72hpi_child_Infected_Sample5_Sample5"	"Secretory_VIC01_72hpi_child_Infected"	126	"Secretory_Infected"
"280"	"Secretory_2"	"Infected"	"VIC01_72hpi_child"	"Sample6_Sample6"	9190	"Male"	"Secretory"	"VIC01_72hpi_child_Infected_Sample6_Sample6"	"Secretory_VIC01_72hpi_child_Infected_Sample6_Sample6"	"Secretory_VIC01_72hpi_child_Infected"	218	"Secretory_Infected"
"282"	"Secretory_2"	"Uninfected"	"VIC01_72hpi_child"	"Sample5_Sample5"	672	"Female"	"Secretory"	"VIC01_72hpi_child_Uninfected_Sample5_Sample5"	"Secretory_VIC01_72hpi_child_Uninfected_Sample5_Sample5"	"Secretory_VIC01_72hpi_child_Uninfected"	20	"Secretory_Uninfected"
"283"	"Secretory_2"	"Uninfected"	"VIC01_72hpi_child"	"Sample6_Sample6"	1133	"Male"	"Secretory"	"VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Secretory_VIC01_72hpi_child_Uninfected_Sample6_Sample6"	"Secretory_VIC01_72hpi_child_Uninfected"	94	"Secretory_Uninfected"
"284"	"Suprabasal"	"Infected"	"UK_72hpi_adult"	"Sample1_Sample1"	17743	"Male"	"Suprabasal"	"UK_72hpi_adult_Infected_Sample1_Sample1"	"Suprabasal_UK_72hpi_adult_Infected_Sample1_Sample1"	"Suprabasal_UK_72hpi_adult_Infected"	73	"Suprabasal_Infected"
"285"	"Suprabasal"	"Infected"	"UK_72hpi_adult"	"Sample2_Sample2"	2592	"Female"	"Suprabasal"	"UK_72hpi_adult_Infected_Sample2_Sample2"	"Suprabasal_UK_72hpi_adult_Infected_Sample2_Sample2"	"Suprabasal_UK_72hpi_adult_Infected"	149	"Suprabasal_Infected"
"286"	"Suprabasal"	"Infected"	"UK_72hpi_adult"	"Sample3_Sample3"	42018	"Male"	"Suprabasal"	"UK_72hpi_adult_Infected_Sample3_Sample3"	"Suprabasal_UK_72hpi_adult_Infected_Sample3_Sample3"	"Suprabasal_UK_72hpi_adult_Infected"	121	"Suprabasal_Infected"
"290"	"Suprabasal"	"Infected"	"UK_72hpi_child"	"Sample4_Sample4"	6153	"Female"	"Suprabasal"	"UK_72hpi_child_Infected_Sample4_Sample4"	"Suprabasal_UK_72hpi_child_Infected_Sample4_Sample4"	"Suprabasal_UK_72hpi_child_Infected"	148	"Suprabasal_Infected"
"291"	"Suprabasal"	"Infected"	"UK_72hpi_child"	"Sample5_Sample5"	16329	"Female"	"Suprabasal"	"UK_72hpi_child_Infected_Sample5_Sample5"	"Suprabasal_UK_72hpi_child_Infected_Sample5_Sample5"	"Suprabasal_UK_72hpi_child_Infected"	128	"Suprabasal_Infected"
"292"	"Suprabasal"	"Infected"	"UK_72hpi_child"	"Sample6_Sample6"	2704	"Male"	"Suprabasal"	"UK_72hpi_child_Infected_Sample6_Sample6"	"Suprabasal_UK_72hpi_child_Infected_Sample6_Sample6"	"Suprabasal_UK_72hpi_child_Infected"	139	"Suprabasal_Infected"
"296"	"Suprabasal"	"Uninfected"	"uninfected_adult"	"Sample1_Sample1"	1816	"Male"	"Suprabasal"	"uninfected_adult_Uninfected_Sample1_Sample1"	"Suprabasal_uninfected_adult_Uninfected_Sample1_Sample1"	"Suprabasal_uninfected_adult_Uninfected"	230	"Suprabasal_Uninfected"
"297"	"Suprabasal"	"Uninfected"	"uninfected_adult"	"Sample2_Sample2"	8117	"Female"	"Suprabasal"	"uninfected_adult_Uninfected_Sample2_Sample2"	"Suprabasal_uninfected_adult_Uninfected_Sample2_Sample2"	"Suprabasal_uninfected_adult_Uninfected"	158	"Suprabasal_Uninfected"
"298"	"Suprabasal"	"Uninfected"	"uninfected_adult"	"Sample3_Sample3"	3684	"Male"	"Suprabasal"	"uninfected_adult_Uninfected_Sample3_Sample3"	"Suprabasal_uninfected_adult_Uninfected_Sample3_Sample3"	"Suprabasal_uninfected_adult_Uninfected"	260	"Suprabasal_Uninfected"
"299"	"Suprabasal"	"Uninfected"	"uninfected_child"	"Sample4_Sample4"	39364	"Female"	"Suprabasal"	"uninfected_child_Uninfected_Sample4_Sample4"	"Suprabasal_uninfected_child_Uninfected_Sample4_Sample4"	"Suprabasal_uninfected_child_Uninfected"	46	"Suprabasal_Uninfected"
"300"	"Suprabasal"	"Uninfected"	"uninfected_child"	"Sample5_Sample5"	36652	"Female"	"Suprabasal"	"uninfected_child_Uninfected_Sample5_Sample5"	"Suprabasal_uninfected_child_Uninfected_Sample5_Sample5"	"Suprabasal_uninfected_child_Uninfected"	45	"Suprabasal_Uninfected"
"301"	"Suprabasal"	"Uninfected"	"uninfected_child"	"Sample6_Sample6"	820	"Male"	"Suprabasal"	"uninfected_child_Uninfected_Sample6_Sample6"	"Suprabasal_uninfected_child_Uninfected_Sample6_Sample6"	"Suprabasal_uninfected_child_Uninfected"	84	"Suprabasal_Uninfected"
"302"	"Suprabasal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample1_Sample1"	18520	"Male"	"Suprabasal"	"VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Suprabasal_VIC01_48hpi_adult_Uninfected_Sample1_Sample1"	"Suprabasal_VIC01_48hpi_adult_Uninfected"	145	"Suprabasal_Uninfected"
"303"	"Suprabasal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample2_Sample2"	14687	"Female"	"Suprabasal"	"VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Suprabasal_VIC01_48hpi_adult_Uninfected_Sample2_Sample2"	"Suprabasal_VIC01_48hpi_adult_Uninfected"	144	"Suprabasal_Uninfected"
"304"	"Suprabasal"	"Uninfected"	"VIC01_48hpi_adult"	"Sample3_Sample3"	6010	"Male"	"Suprabasal"	"VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Suprabasal_VIC01_48hpi_adult_Uninfected_Sample3_Sample3"	"Suprabasal_VIC01_48hpi_adult_Uninfected"	160	"Suprabasal_Uninfected"
"307"	"Suprabasal"	"Uninfected"	"VIC01_48hpi_child"	"Sample4_Sample4"	5258	"Female"	"Suprabasal"	"VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Suprabasal_VIC01_48hpi_child_Uninfected_Sample4_Sample4"	"Suprabasal_VIC01_48hpi_child_Uninfected"	313	"Suprabasal_Uninfected"
